"ACCESSION_NUMBER","ID","PERSONSIGNATURE","PERSONTITLE","SIGNATUREDATE"
"0001758135-18-000006",1,"Nicolas Bergengruen","CMO","2018-11-15"
"0001669191-18-000506",4,"Michael Antaran","Board Member","2018-10-23"
"0001669191-18-000506",2,"Michael Antaran","Principal Financial Officer","2018-10-23"
"0001669191-18-000506",1,"Michael Antaran","Principal Executive Officer","2018-10-23"
"0001669191-18-000506",3,"Michael Antaran","Principal Accounting Officer","2018-10-23"
"0001746059-18-000009",1,"Morgan Chase","Owner","2018-11-15"
"0001669191-18-000504",2,"Chris Pesigan","Principal Financial Officer","2018-04-30"
"0001669191-18-000504",3,"Chris Pesigan","Principal Accounting Officer","2018-04-30"
"0001669191-18-000504",4,"Tyrre Burks","Board Member","2018-04-30"
"0001669191-18-000504",1,"Tyrre Burks","Principal Executive Officer","2018-04-30"
"0001665160-18-001226",1,"Amit Patel","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2018-11-15"
"0001665160-18-001224",1,"Kirk Maust","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2018-11-15"
"0001665160-18-001222",1,"Vitaly Khusidman","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-15"
"0001753229-18-000003",1,"Angela Dupree","President/CEO","2018-11-15"
"0001670254-18-000540",2,"Demetri Coupounas","CEO","2018-11-13"
"0001670254-18-000540",1,"Kimberly Anne Riether Coupounas","Director","2018-11-13"
"0001665160-18-001219",1,"Raghu Bala","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-13"
"0001665160-18-001216",1,"Nick Foster","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-14"
"0001675481-18-000006",1,"Lynn Johnson","CEO, CFO, Director","2018-11-12"
"0001675481-18-000006",2,"Allison Kenny","Director","2018-11-14"
"0001665160-18-001213",2,"Chris Betzing","Principal Accounting Officer and Principal Financial Officer","2018-11-14"
"0001665160-18-001213",1,"Peter Jenson","CEO, Principal Executive Officer, and Principal Executive Director","2018-11-14"
"0001637604-18-000001",3,"David Meadows","CEO","2018-11-13"
"0001637604-18-000001",2,"Wade Hampton","Board Member","2018-11-14"
"0001637604-18-000001",1,"Robert Schnitzius","Board Member","2018-11-13"
"0001665160-18-001211",1,"Gregory Campbell","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2018-11-13"
"0001746059-18-000008",1,"Keenan Langlois","Owner","2018-11-13"
"0001758696-18-000005",2,"Isar Mostafanezhad","Director","2018-11-13"
"0001758696-18-000005",1,"Vincent Kimura","Director and Chief Executive Officer","2018-11-13"
"0001758696-18-000005",3,"Man Wai Stephen Tsang","Director","2018-11-13"
"0001665160-18-001207",1,"Glyn Caddell","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-13"
"0001669191-18-000501",2,"Richard Burtt","Principal Financial Officer","2018-11-07"
"0001669191-18-000501",10,"Paul Sinnott","Board Member","2018-11-07"
"0001669191-18-000501",9,"Brian Kinney","Board Member","2018-11-07"
"0001669191-18-000501",8,"Leonard Miller","Board Member","2018-11-08"
"0001669191-18-000501",7,"Richard Burtt","Board Member","2018-11-07"
"0001669191-18-000501",6,"John Cammett","Board Member","2018-11-08"
"0001669191-18-000501",5,"Peter Rogal","Board Member","2018-11-07"
"0001669191-18-000501",4,"Mitchel Sayare","Board Member","2018-11-07"
"0001669191-18-000501",3,"Pamela Lichtenthal","Principal Accounting Officer","2018-11-07"
"0001669191-18-000501",1,"Richard Burtt","Principal Executive Officer","2018-11-07"
"0001665160-18-001205",1,"Joshua Montgomery","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-13"
"0001665160-18-001204",1,"Carlo Brovero","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-13"
"0001665160-18-001203",1,"Joe Grimes","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-13"
"0001665160-18-001202",1,"Cornell Christanson","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2018-11-13"
"0001753754-18-000004",2,"Justin Honeysuckle","Chief Operating Officer","2018-11-13"
"0001753754-18-000004",1,"James Perkins","Chief Executive Officer","2018-11-13"
"0001753666-18-000001",1,"Jay Readey","President of the Manager, NeighborScapes NFP","2018-11-13"
"0001751259-18-000005",1,"Scott Baker","Owner","2018-11-13"
"0001670254-18-000536",2,"Areo Nazari","CEO and Founder","2018-11-09"
"0001670254-18-000536",1,"Kevin Lance","Secretary","2018-11-09"
"0001753839-18-000008",2,"Vanessa Melendez","Managing Partner","2018-11-09"
"0001753839-18-000008",1,"Bryan Melendez","CEO","2018-11-09"
"0001670254-18-000533",1,"Brooke Parks","President","2018-11-09"
"0001670254-18-000533",2,"Nic Parks","CEO","2018-11-09"
"0001670254-18-000530",1,"Sean McCauley","Senior Advisor","2018-11-08"
"0001670254-18-000530",2,"Andres Acosta","MD, PhD","2018-11-08"
"0001751287-18-000003",1,"Joseph Hernandez","Founder","2018-11-09"
"0001669191-18-000497",4,"Jacob Dansey","Board Member","2018-09-24"
"0001669191-18-000497",3,"Jacob Dansey","Principal Accounting Officer","2018-09-24"
"0001669191-18-000497",2,"Jacob Dansey","Principal Financial Officer","2018-09-24"
"0001669191-18-000497",1,"Jacob Dansey","Principal Executive Officer","2018-09-24"
"0001669191-18-000495",7,"Christopher Schuh","Board Member","2018-09-18"
"0001669191-18-000495",6,"John  Preston","Board Member","2018-09-14"
"0001669191-18-000495",5,"Craig Bouchard","Board Member","2018-09-13"
"0001669191-18-000495",4,"Norton Schwartz","Board Member","2018-09-14"
"0001669191-18-000495",2,"Julio Ramirez","Principal Financial Officer","2018-09-13"
"0001669191-18-000495",1,"Craig Bouchard","Principal Executive Officer","2018-09-13"
"0001669191-18-000495",3,"Johanne Medina","Principal Accounting Officer","2018-09-13"
"0001750894-18-000004",1,"JUSTIN LEE","CEO","2018-11-09"
"0001749553-18-000004",1,"Kai Nortey","Member","2018-10-10"
"0001749553-18-000004",2,"Ernest Nee-Nueh Nortey","Member","2018-10-10"
"0001756562-18-000003",1,"Kenneth A. Crecelius","Owner","2018-11-08"
"0001669191-18-000492",4,"Thomas  Mason","Board Member","2018-11-02"
"0001669191-18-000492",3,"Thomas  Mason","Principal Accounting Officer","2018-11-02"
"0001669191-18-000492",2,"Thomas  Mason","Principal Financial Officer","2018-11-02"
"0001669191-18-000492",1,"Thomas  Mason","Principal Executive Officer","2018-11-02"
"0001669191-18-000492",5,"James Fiske","Board Member","2018-11-03"
"0001665160-18-001201",1,"Lynn Rolle","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-08"
"0001665160-18-001199",8,"David Roderick","Director","2018-11-08"
"0001665160-18-001199",7,"Jeffry Gerber, MD","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-08"
"0001665160-18-001199",6,"Gary L. German","Director","2018-11-08"
"0001665160-18-001199",5,"Michael Roth","Director, Chairman, and Secretary","2018-11-08"
"0001665160-18-001199",4,"Eric Westman","Director, Chief Medical Officer","2018-11-08"
"0001665160-18-001199",3,"Bruce Rossiter","Director","2018-11-08"
"0001665160-18-001199",2,"Sherron Kittle","Director","2018-11-08"
"0001665160-18-001199",1,"Richard Koffler","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-08"
"0001756193-18-000002",1,"David M. Talla","Manager of Morongo Moraga, LLC, the Manager","2018-11-08"
"0001670254-18-000527",1,"Jason A. Hobson","Founder","2018-11-07"
"0001670254-18-000527",2,"David Nikzad","Founder","2018-11-07"
"0001670254-18-000526",1,"Jason A. Hobson","Founder","2018-11-07"
"0001670254-18-000526",2,"David Nikzad","Founder","2018-11-07"
"0001665160-18-001197",1,"Darby Cox","CEO, Principal Executive Officer and Director","2018-11-07"
"0001665160-18-001197",3,"Amy Livingood","Principal Accounting Officer","2018-11-07"
"0001665160-18-001197",2,"Sean Geng","COO, President, and Principal Financial Officer","2018-11-07"
"0001669191-18-000485",4,"Trevor  Castor","Board Member","2018-08-30"
"0001669191-18-000481",1,"Neville Golvala","Principal Executive Officer","2018-02-27"
"0001669191-18-000481",3,"Ronald Buckner","Principal Accounting Officer","2018-02-27"
"0001669191-18-000481",4,"Ronald Buckner","Board Member","2018-02-19"
"0001669191-18-000485",3,"James  Falese","Principal Accounting Officer","2018-08-29"
"0001669191-18-000485",2,"James  Falese","Principal Financial Officer","2018-08-29"
"0001669191-18-000485",1,"Trevor  Castor","Principal Executive Officer","2018-08-29"
"0001669191-18-000481",2,"Ronald Buckner","Principal Financial Officer","2018-02-27"
"0001754776-18-000003",1,"Robert Smith","CEO and Founder","2018-11-06"
"0001746059-18-000007",1,"Jonathan Gilman","Owner/Co-Founder","2018-11-06"
"0001746059-18-000007",2,"Alex Corona","Owner/Co-Founder","2018-11-06"
"0001665160-18-001196",1,"Mamta Sonwalkar","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-06"
"0001665160-18-001195",1,"Mark Daniel Farb","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-06"
"0001665160-18-001194",2,"Chris Ladwig","Chief Design Officer and Director","2018-11-06"
"0001665160-18-001194",1,"Mark Lyle","CEO, CTO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-06"
"0001665160-18-001193",1,"Charles S. Cotropia","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-06"
"0001665160-18-001192",2,"Coan I Knight","Controller","2018-11-06"
"0001665160-18-001192",1,"Robert J Freedman","CEO, Principal Executive Officer and Manager","2018-11-06"
"0001665160-18-001191",1,"Joseph Anselmo","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-06"
"0001665160-18-001190",1,"Pietro Gabriele","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-06"
"0001665160-18-001189",1,"Michael P. Maloney","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-06"
"0001620525-18-000002",2,"Graham Dodge","CEO","2018-11-05"
"0001620525-18-000002",3,"James Sajor","COO","2018-11-05"
"0001620525-18-000002",1,"Michael W. Belt","CTO","2018-11-05"
"0001658754-18-000004",1,"Richard Hull","Director","2018-11-05"
"0001658754-18-000004",3,"Buck Jordan","Director","2018-11-05"
"0001658754-18-000004",4,"Ken Hayes","Director","2018-11-05"
"0001658754-18-000004",2,"Sergio Radovcic","Director","2018-11-05"
"0001742055-18-000003",1,"David Colleen","Director","2018-11-05"
"0001665160-18-001188",1,"David Smooke","CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer","2018-11-05"
"0001739119-18-000004",1,"Alexandre Botteri","Director","2018-11-05"
"0001670254-18-000511",1,"Peter R. Giannopoulos","Officer/Partner","2018-10-30"
"0001670254-18-000521",1,"Amir Fassihi","Founder and CEO","2018-11-02"
"0001665160-18-001185",1,"David Smooke","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-02"
"0001670254-18-000513",1,"Lisa B. Ruskaup","CEO/Founder","2018-11-02"
"0001670254-18-000513",2,"Lisa Ruskaup","CEO","2018-11-02"
"0001670254-18-000519",2,"Jiri Nozicka","CEO","2018-11-02"
"0001670254-18-000519",1,"Elizabeth Pennisi-Nozicka","Member Manager","2018-11-02"
"0001670254-18-000511",2,"John Giannopoulos","Owner, Managing Director","2018-10-30"
"0001752964-18-000006",1,"Sam Bogoch","CEO and Director","2018-11-02"
"0001665160-18-001182",1,"Josef Wojtkow","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-02"
"0001752964-18-000004",1,"Sam Bogoch","CEO and Director","2018-11-02"
"0001665160-18-001179",1,"Rodney J. Reynolds","Director and CEO, Principal Executive Officer,Principal Financial Officer and Principal Accounting Officer","2018-11-02"
"0001757722-18-000001",2,"Tanausu Gonzales","CTO and Director","2018-11-02"
"0001757722-18-000001",1,"Pablo Carvallo","CEO and Director","2018-11-02"
"0001754192-18-000001",1,"Matthew James Connolly","Director","2018-11-02"
"0001720035-18-000001",1,"David Butler","Chairman and Manager","2018-11-02"
"0001720035-18-000001",2,"Patricia Butler","Manager, CEO, Treasurer & Secretary","2018-11-02"
"0001739119-18-000003",2,"Alan Erickson","Director","2018-11-02"
"0001739119-18-000003",1,"Amber McDonald","Chief Executive Officer","2018-11-02"
"0001739119-18-000003",3,"Aaron Dallek","Director","2018-11-02"
"0001665160-18-001177",1,"Alaxander Villmann","CEO, Principal Executive Officer and Director","2018-11-02"
"0001665160-18-001177",2,"Richard Sherman","COO, Principal Financial Officer, Principal Accounting Officer, and Director","2018-11-02"
"0001669191-18-000479",4,"Maureen Lloren","Board Member","2018-05-14"
"0001669191-18-000479",3,"Mike Beck","Principal Accounting Officer","2018-05-14"
"0001669191-18-000479",2,"Ned Sedlak","Principal Financial Officer","2018-05-14"
"0001669191-18-000479",1,"Maureen Lloren","Principal Executive Officer","2018-05-14"
"0001665160-18-001175",1,"Ibrahima Diallo","COO, Principal Financial Officer, and Principal Accounting Officer","2018-11-01"
"0001665160-18-001175",2,"Mohammed Diallo","CEO, Principal Executive Officer, and Director","2018-11-01"
"0001665160-18-001173",2,"Robert S. Marks","Director, Secretary","2018-11-01"
"0001665160-18-001173",1,"Luka Fajs","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-11-01"
"0001748372-18-000007",1,"Carlos Ventura","Chief Executive Officer","2018-10-31"
"0001748372-18-000007",2,"Margaret Mulvena","Founder, Executive Chef","2018-10-31"
"0001665160-18-001168",1,"Donald Jones","CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer","2018-10-31"
"0001665160-18-001172",1,"Andrew Torba","CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer","2018-10-31"
"0001705496-18-000003",1,"Lu Yang","Managing Director","2018-10-31"
"0001665160-18-001165",2,"David Sastry","Director, Principal Financial Officer, Principal Accounting Officer","2018-10-31"
"0001665160-18-001165",1,"Paul Moller","CEO, Principal Executive Officer","2018-10-31"
"0001670254-18-000508",1,"Paul Blum","Co-founder & CEO","2018-10-30"
"0001750508-18-000003",1,"Bethany Ruhe","Owner","2018-10-31"
"0001665160-18-001159",1,"Donna Dutcher","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-30"
"0001665160-18-001164",1,"Ken Farr","CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer","2018-10-30"
"0001665160-18-001162",1,"Matthew Martin White","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2018-10-30"
"0001665160-18-001155",1,"James Lyon","CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer","2018-10-30"
"0001669191-18-000477",2,"Alex Melehy","Principal Financial Officer","2018-06-29"
"0001669191-18-000477",1,"Alex Melehy","Principal Executive Officer","2018-06-29"
"0001669191-18-000477",4,"Alex Melehy","Board Member","2018-06-29"
"0001669191-18-000477",3,"Alex Melehy","Principal Accounting Officer","2018-06-29"
"0001754712-18-000002",1,"Edward A. Stoltenberg","Chief Financial Officer","2018-10-18"
"0001754712-18-000002",3,"David B. Park","Chief Executive Officer & Chief Technical Officer","2018-10-18"
"0001754712-18-000002",2,"R. Mitchell Hindman","President & Chief Operating Officer","2018-10-18"
"0001665160-18-001152",1,"Avi Bernard","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-30"
"0001665160-18-001151",3,"Suit Khown Chan","Principal Financial Officer and Principle Accounting Officer","2018-10-30"
"0001665160-18-001151",2,"Robert Kent","CMO, Vice Chairman and Director","2018-10-30"
"0001665160-18-001151",1,"Esmond Goei","CEO, Principal Executive Officer and Director","2018-10-30"
"0001757431-18-000001",1,"FRANCINE ANDERSION","PRESIDENT/CEO","2018-10-30"
"0001665160-18-001148",2,"Pat Boone","Director","2018-10-29"
"0001665160-18-001148",1,"Tomer D. Tamarkin","President and Director, Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer","2018-10-29"
"0001756193-18-000001",1,"David M. Talla","Manager of Morongo Moraga, LLC, the Manager","2018-10-29"
"0001665160-18-001150",1,"Kevin J. Williams","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-29"
"0001665160-18-001146",1,"Ryan Cullins","CEO, Principal Executive Officer, Director","2018-10-29"
"0001665160-18-001146",2,"Brian Catudan","Principal Financial Officer, Principal Accounting Officer","2018-10-29"
"0001665160-18-001145",1,"Marcus Laun","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-29"
"0001665160-18-001144",1,"Chris Kolodziejski","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2018-10-29"
"0001665160-18-001143",1,"Richard L Medlen","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-29"
"0001665160-18-001142",1,"Brad Rego","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2018-10-29"
"0001753839-18-000006",1,"Joby Bowman","CEO","2018-10-29"
"0001753839-18-000006",2,"Michael Shields","Managing Partner","2018-10-29"
"0001665160-18-001141",1,"Michael Licamele","CEO, Principal Executive Officer and Sole Director, Principal Financial Officer and Principal Accounting Officer","2018-10-29"
"0001665160-18-001139",1,"Amir Amini","CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer","2018-10-26"
"0001665160-18-001138",1,"Joshua Montgomery","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-29"
"0001740075-18-000003",1,"Andreas Roussos","CEO","2018-10-29"
"0001753754-18-000002",2,"Justin Honeysuckle","Chief Operating Officer","2018-10-26"
"0001753754-18-000002",1,"James Perkins","Chief Executive Officer","2018-10-26"
"0001753839-18-000001",2,"Michael Shields","Managing Partner","2018-10-26"
"0001669191-18-000475",2,"Michael Antaran","Principal Financial Officer","2018-10-23"
"0001753839-18-000001",1,"Joby Bowman","CEO","2018-10-26"
"0001669191-18-000475",3,"Michael Antaran","Principal Accounting Officer","2018-10-23"
"0001669191-18-000475",4,"Michael Antaran","Board Member","2018-10-23"
"0001669191-18-000475",1,"Michael Antaran","Principal Executive Officer","2018-10-23"
"0001670254-18-000506",2,"Sean Erik Richards","Secretary","2018-10-24"
"0001670254-18-000506",1,"Philip Gay","CFO","2018-10-25"
"0001670254-18-000506",3,"Joey Parsi","CEO","2018-10-24"
"0001757055-18-000001",1,"Richard A. Genga Jr.","CEO","2018-10-26"
"0001757029-18-000001",1,"Amanuel Tsegai","CEO","2018-10-26"
"0001665160-18-001135",1,"Govinda Giri","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-26"
"0001665160-18-001134",1,"Vikram Chopra","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-26"
"0001742846-18-000005",1,"Nu Dao","Co-founder/CEO","2018-10-26"
"0001670254-18-000503",2,"Akshay Prabhu","CEO","2018-10-24"
"0001670254-18-000503",1,"JNYANESHWAR PRABHU","DIRECTOR","2018-10-24"
"0001756689-18-000001",1,"Shuvro Biswas","Founder","2018-10-25"
"0001665160-18-001133",1,"James Tagg","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-25"
"0001665160-18-001133",3,"Dr. Erik Viirr MD PHD","Director","2018-10-25"
"0001665160-18-001133",2,"Dr. Edward Guy III","Director and Secretary","2018-10-25"
"0001665160-18-001133",4,"Manju Kesani","Director","2018-10-25"
"0001670254-18-000502",2,"Ivan Ablamskyi","Founder and CEO","2018-09-24"
"0001670254-18-000502",1,"Andrey Kolodyuk","founder","2018-09-25"
"0001746059-18-000006",1,"Shane Clyburn","Owner/Co-Founder","2018-10-24"
"0001746059-18-000006",2,"Robert MacLean","Owner/Co-Founder","2018-10-24"
"0001746059-18-000005",1,"Rachel Miller","Owner, NIGHTSHADEPOPUP, LLC","2018-10-24"
"0001744276-18-000002",2,"Donald Glover","Co-Founder","2018-10-24"
"0001744276-18-000002",1,"Harold Thomas","Founder","2018-10-24"
"0001665160-18-001132",1,"Saritta Hines","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-24"
"0001746059-18-000004",1,"Tiffany Duchesne","Owner/Co-Founder","2018-10-24"
"0001746059-18-000004",2,"Chelsea Falcetti","Owner/Co-Founder","2018-10-24"
"0001665160-18-001131",1,"Christina Taft","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-23"
"0001746059-18-000003",1,"Nathan McNiff","Owner, The Wandering Stage, LLC","2018-10-23"
"0001665160-18-001130",1,"Christina Taft","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-23"
"0001670254-18-000499",2,"Daniel Dempsey","Founder and CEO","2018-10-19"
"0001670254-18-000499",1,"Deepankar Roy","Founder and COO","2018-10-19"
"0001665160-18-001128",2,"Eric Morley","Principal Financial Officer and Principal Accounting Officer","2018-10-23"
"0001665160-18-001128",1,"Jim Riley","CEO and Principal Executive Officer and Director","2018-10-23"
"0001665160-18-001127",1,"Brennen Hodge","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-23"
"0001665160-18-001126",1,"Jennifer Lapoint","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-23"
"0001669191-18-000472",4,"Karin Crawford","Board Member","2018-09-21"
"0001669191-18-000472",3,"Karin Crawford","Principal Accounting Officer","2018-09-21"
"0001669191-18-000472",2,"Karin Crawford","Principal Financial Officer","2018-09-21"
"0001669191-18-000472",1,"Karin Crawford","Principal Executive Officer","2018-09-21"
"0001669191-18-000468",1,"William W Crossman","Principal Executive Officer","2018-10-10"
"0001669191-18-000468",2,"Timmy Chou","Principal Financial Officer","2018-10-10"
"0001669191-18-000468",3,"Timmy Chou","Principal Accounting Officer","2018-10-10"
"0001669191-18-000468",4,"Timmy Chou","Board Member","2018-10-10"
"0001669191-18-000468",5,"Lawrence Toll","Board Member","2018-10-10"
"0001669191-18-000468",6,"John A Lawson","Board Member","2018-10-10"
"0001669191-18-000468",7,"Chris Tew","Board Member","2018-10-10"
"0001669191-18-000468",8,"William W Crossman","Board Member","2018-10-10"
"0001669191-18-000470",1,"Brian Curcio","Principal Executive Officer","2018-10-09"
"0001669191-18-000470",2,"Brian Curcio","Principal Financial Officer","2018-10-09"
"0001669191-18-000470",3,"Brian Curcio","Principal Accounting Officer","2018-10-09"
"0001669191-18-000470",4,"Brian Curcio","Board Member","2018-10-09"
"0001665160-18-001125",1,"Marlon Schulman","Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer, Director","2018-10-22"
"0001746875-18-000003",2,"Tacee Kathleen Dewitt-Webb","Member","2018-10-22"
"0001746875-18-000003",1,"Stuart Maclean Ramsay","Manager","2018-10-22"
"0001648770-18-000008",1,"Amanda Greenberg","Director, President, Secretary, Treasurer","2018-10-22"
"0001648770-18-000008",2,"Noah Bornstein","Director, Chief Technology Officer","2018-10-22"
"0001665160-18-001124",1,"George B. Brown","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-22"
"0001665160-18-001123",1,"Joseph Daniluk","CEO, Principal Executive Officer and Director, Principal Financial Officer, Secretary and Principal Accounting Officer","2018-10-22"
"0001684004-18-000002",1,"Mark Murrell","CEO","2018-10-22"
"0001745469-18-000003",3,"James McCain","Principal accounting officer/principal financial officer / Board Member","2018-07-19"
"0001745469-18-000003",2,"/s/ Claudia Raessler","Board Member","2018-07-19"
"0001745469-18-000003",1,"/s/ Kenneth Raessler","President / Board Member","2018-07-19"
"0001746386-18-000003",1,"Elizabeth Turrigiano","President","2018-10-22"
"0001746386-18-000003",3,"Marta Baumann","COO","2018-10-22"
"0001746386-18-000003",2,"Sarah Edwards","CFO","2018-10-22"
"0001750307-18-000005",1,"Gregory Reaves","Managing member of Manager, Mosaic Development Partners, LLC","2018-10-22"
"0001670254-18-000497",1,"Richard Westbrook","Brand Director","2018-10-19"
"0001670254-18-000495",2,"Ryan Miner","Co-CEO","2018-10-19"
"0001670254-18-000495",1,"Madeline Alcott","Co-CEO","2018-10-19"
"0001670254-18-000497",2,"Todd Barket","Owner","2018-10-19"
"0001682580-18-000002",4,"Russell Glass","Director","2018-10-19"
"0001682580-18-000002",3,"Richard Cohen","Director","2018-10-19"
"0001682580-18-000002",1,"Mikhail Damiani","Director","2018-10-19"
"0001682580-18-000002",2,"Tom Duncan","Director","2018-10-19"
"0001665160-18-001121",1,"Chris Lustrino","CEO and Manager, Principal Financial Officer, Principal Accounting Officer","2018-10-19"
"0001665160-18-001121",2,"Cecilia Lenk","Manager","2018-10-19"
"0001670254-18-000492",1,"Eva Shure","Co-Founder","2018-10-19"
"0001670254-18-000492",2,"Craig Saslow","Co-Founder","2018-10-19"
"0001747279-18-000002",1,"William A Holderness","CFO","2017-07-25"
"0001755293-18-000001",1,"JACQUETTA THOMAS","President / CEO","2018-10-18"
"0001752660-18-000001",1,"James Bernstein [s]","CEO","2018-10-18"
"0001747732-18-000002",1,"Adam J. Robison","Chief Executive Officer","2018-10-18"
"0001755293-18-000001",2,"NISAA SMITH","President/CFO","2018-10-18"
"0001665160-18-001117",1,"Clinton Osborn","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2018-10-18"
"0001665160-18-001113",2,"Kerry Brown","CTO and Director","2018-10-18"
"0001665160-18-001113",3,"Peter Landrock","Phd and Director","2018-10-18"
"0001665160-18-001113",1,"Vance David Watkins","CEO, Principal Financial Officer, and Principal Accounting Officer","2018-10-18"
"0001650631-18-000003",2,"Howard Fischer","Director","2018-10-18"
"0001650631-18-000003",1,"Cullen Schwarz","CEO and Director","2018-10-18"
"0001744554-18-000002",1,"Terri Arthur","Owner & CEO","2018-10-18"
"0001754776-18-000001",1,"Robert Smith","CEO and Founder","2018-10-18"
"0001665160-18-001109",1,"Emmanuel Umoh","CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer","2018-10-17"
"0001665160-18-001103",1,"Jonathan Bannon Maher","CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer","2018-10-17"
"0001665160-18-001111",1,"Jonathan Bannon Maher","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-17"
"0001665160-18-001098",1,"William Gilligan","Co-CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer","2018-10-17"
"0001665160-18-001098",2,"Michael S. Ferneman","Co-CEO and Director","2018-10-17"
"0001665160-18-001093",1,"William Brevard","CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer","2018-10-17"
"0001665160-18-001090",1,"Ralph Liu","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2018-10-16"
"0001665160-18-001088",1,"J. Garrett Green","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2018-10-16"
"0001665160-18-001086",1,"J Garrett Green","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer","2018-10-16"
"0001665160-18-001085",1,"Don Bielak","CEO, Principal Executive Officer and Manager,Principal Financial Officer and Principal Accounting Officer","2018-10-16"
"0001745986-18-000002",1,"Shi Li","Director","2018-10-15"
"0001745986-18-000002",2,"Duncan Sham","Director","2018-10-15"
