"ACCESSION_NUMBER","ID","ISSUER","ISSUERSIGNATURE","ISSUERTITLE"
"0001665160-17-000521",1,"Affordable Community Energy Services Company (ACE)","Jeffrey S. Greenberger","President, CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001670254-17-000296",1,"VAUTE COUTURE, INC.","Leanne Mai-ly Hilgart","President"
"0001665160-17-000517",1,"4-Scored","Christopher Tompkins","Principle Executive Officer, Principle Financial officer, Principle Accounting Officer, Director"
"0001493152-17-012106",1,"Ajay Yadav","/s/Ajay Yadav","Founder & CEO"
"0001665160-17-000513",1,"SMASH Global","Steve Orosco","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001680729-17-000008",1,"Arbit, Inc.","Alex Bullington","Co-Founder and CEO"
"0001665160-17-000512",1,"N-Gen Technologies, Inc.","Alan Holsapple","Principal Financial Officer and Principal Accounting Officer"
"0001705517-17-000003",1,"Herbal Compliance, CO","/s/ Brian Gass","Vice President Insurance/Investments"
"0001665160-17-000510",1,"Trikke","Jose Gildo Beleski","CEO, Principle Financial Officer, Director"
"0001670254-17-000295",1,"MISSION BREWERY, INC.","Dan Selis","President, Founder, CEO"
"0001719522-17-000001",1,"FC Sugar, LLC","Sameer Patel","Manager of WPCK, LLC, the manager of the Issuer"
"0001704090-17-000006",1,"Gulf Coast Canna Meds, Inc.","Thomas Murphy","CEO"
"0001670254-17-000294",1,"Scrap Connection, Inc.","Chris Yerbey","Founder & CEO"
"0001670254-17-000292",1,"Happy Tax Holding Corp","Mario Costanz","CEO"
"0001670254-17-000293",1,"Designer Solutions Inc.","Heather Gillette","CEO"
"0001716791-17-000006",1,"HireClub.com","/s/ Ketan Anjaria","President/Secretary/Treasurer"
"0001716791-17-000004",1,"HireClub.com","/s/ Ketan Anjaria","President/Secretary/Treasurer"
"0001640709-17-000011",1,"Techotel, Inc.","Payam Safa","Chief Executive Officer"
"0001640709-17-000010",1,"Techotel, Inc.","Payam Safa","Chief Executive Officer"
"0001670254-17-000291",1,"MOBODEXTER INC","Chandramouli Srinivasan","CEO"
"0001669191-17-000160",1,"Split Mountain Productions Inc","Gray Frederickson","Principal Executive Officer"
"0001665160-17-000508",1,"Next Future Transportation Inc.","Tommaso Gecchelin","CTO"
"0001695657-17-000006",1,"Biopropulsion, LLC","Thom Gambaro","Manager"
"0001695657-17-000005",1,"Pristine Sun Corp","Troy Helming","President"
"0001670254-17-000290",1,"That Christmas Movie LLC","David Willis","Director / Writer / Producer"
"0001665160-17-000507",1,"Obron Restaurant Waiter, Inc.","Judy O. Buttler","Director"
"0001718414-17-000003",1,"Spikes Beverage Co","Brian Gettelfinger","Managing Partner"
"0001665160-17-000506",1,"MOCKOUT, INC.","Michael McKeon","Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001713167-17-000005",1,"French Morning Media Group Inc","Emmanuel Saint-Martin","CEO"
"0001710938-17-000009",1,"Franklin and Cortlandt Vinyl LLC","Dan Yashiv","Managing Member"
"0001665160-17-000505",1,"Buy Insta Slim, Inc","Eemaan Jalili","CEO and Director"
"0001670254-17-000288",1,"Ridgemont Outfitters, Inc.","Alex Hall","CEO"
"0001665160-17-000504",1,"WORDEGO","Dr. Okan Erol","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001669191-17-000158",1,"Home61, Inc.","Olivier Grinda","Principal Executive Officer"
"0001718385-17-000001",1,"Bouck Brothers Distilling, Inc.","Nicholas Bouck","Co-Founder"
"0001670254-17-000287",1,"GlobeChat, Inc.","Kevin Strom","CEO"
"0001670254-17-000286",1,"BLAZnTECH, Inc.","Benjamin Bondar","CEO & Founder"
"0001718203-17-000001",1,"The Happy Pet People, LLC","Lee Miller","CEO"
"0001718414-17-000001",1,"Spikes Beverage Co","Brian Gettelfinger","Managing Partner"
"0001704090-17-000005",1,"Gulf Coast Canna Meds, Inc.","Thomas Murphy","CEO"
"0001665160-17-000500",1,"Paygevity","Neil Rothenberg","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-17-000502",1,"GeoOrbital Inc.","Michael Burtov","Chief Executive Officer"
"0001718971-17-000001",1,"PopDocs Media LLC","Jason Connell","Co-Founder, President"
"0001719326-17-000001",1,"Best Food Trucks, Inc.","Kevin Davis","CEO, Secretary, President, and Director"
"0001593780-17-000003",1,"Edisun Microgrids, Inc.","Bill Gross","CEO"
"0001718720-17-000002",1,"Contact Control Interfaces, LLC","Craig Douglass","CEO"
"0001684984-17-000002",1,"Nuvanna, LLC","Alvaro Vaselli","Founder and CEO"
"0001670254-17-000285",1,"Happy Tax Holding Corp","Mario Costanz","CEO"
"0001669191-17-000156",1,"HUGY INC.","Franz  Almeida","Principal Executive Officer"
"0001670254-17-000283",1,"Malibu Compost Inc.","Randy Ritchie","CEO"
"0001665160-17-000498",1,"Green Gear Cycling, Inc.","Alan Scholz","CEO, Principal Financial Officer and Principal Accounting Officer"
"0001213900-17-010600",1,"YOPI TECHNOLOGIES INC","/s/ Hemi Reem","President"
"0001638829-17-000001",1,"MANCAN Wine, LLC","Graham Veysey","CEO"
"0001665160-17-000497",1,"Shark Wheel LLC","Zack Fleishman","Principal Executive Officer and Director, Principal Financial Officer and Controller"
"0001719648-17-000001",1,"Freerolls Entertainment, Inc.","/c/ Charles Potter","CEO"
"0001719671-17-000001",1,"Vooster Corp","/s/ Zach Liptak","CEO"
"0001718752-17-000001",1,"Goalspriing, LLC","Matthew Laffer","CEO & Founder"
"0001139685-17-000001",1,"20/20 GeneSystems, Inc.","Jonathan Cohen","President & CEO"
"0001718528-17-000002",1,"World's Best Enterprises LLC","Kevin Chow","CEO, Comptroller, Chief Financial Officer, and Member"
"0001640709-17-000009",1,"Techotel, Inc.","Payam Safa","Chief Executive Officer"
"0001670254-17-000281",1,"Perchance, Inc.","Dave Gottesmann","CEO"
"0001665160-17-000496",1,"Dermatech Brands Corp","Darnell Henderson","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001715013-17-000003",1,"Edge Tech Labs, LLC","Shaun Masavage","CEO"
"0001719434-17-000001",1,"Healing Budz, Inc","/s/ David Trujillo","CEO"
"0001718186-17-000001",1,"Sweets Creative Group, LLC","/s/ Joe Mindak","CEO"
"0001718547-17-000002",1,"Recime Inc.","Mehfuz Hossain","CEO and Co-Founder"
"0001665160-17-000494",1,"Dermatech Corp.","Darnell Henderson","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001670254-17-000280",1,"HEARTLN INC","Oleksii Vynogradov","Founder and CEO"
"0001665160-17-000490",1,"Helpp","Scott Hankinson","CEO, Principal Executive Officer and Director"
"0001719220-17-000003",1,"BeachSheetz, LLC","/s/ Austin Wright","CEO"
"0001715237-17-000003",1,"Hammering Hebrew LLC","Jonathan Kesselman","Managing Member"
"0001710903-17-000007",1,"Light Phone Inc.","Joseph Hollier","President"
"0001517560-17-000012",1,"Geostellar, Inc.","David Levine","President and Chief Executive Officer"
"0001665160-17-000487",1,"Samsara Luggage, Inc.","Atara Dzikowski","CEO and Director"
"0001665160-17-000485",1,"GRACEDBYGRIT","Kimberly Caccavo","Founder and CEO"
"0001670254-17-000278",1,"HEARTLN INC","Alex Vinogradov","Founder and CEO"
"0001705496-17-000007",1,"Stanley Grove LLC","Lu Yang","Managing Member"
"0001669191-17-000154",1,"Home61 Inc.","Olivier Grinda","Principal Executive Officer"
"0001717883-17-000004",1,"Small Batch Beauty, LLC","John Cascarano","CEO"
"0001705496-17-000004",1,"Stanley Grove LLC","Lu Yang","Managing Member"
"0001715237-17-000001",1,"Hammering Hebrew LLC","Jonathan Kesselman","Managing Member"
"0001708099-17-000003",1,"CF0006, LLC","Manfred Sternberg","President of Manager"
"0001680729-17-000007",1,"Arbit, Inc.","Alex Bullington","Co-Founder and CEO"
"0001705496-17-000003",1,"Stanley Grove LLC","Lu Yang","Managing Member"
"0001669191-17-000147",1,"Charlotte's Closet, LLC","Jen Forman","Principal Executive Officer"
"0001665160-17-000483",1,"Kind Katie Movie Partners","Jon Graham","CEO and Director, Principal Financial Officer and Principal Accounting Officer"
"0001669191-17-000146",1,"LafayetteRaceway.com, LLC","Mark Snyder","Principal Executive Officer"
"0001718518-17-000001",1,"SuperdopeTV, Inc.","Mychal Simka","CEO and President"
"0001669191-17-000145",1,"Charlotte's Closet, LLC","Jen Forman","Principal Executive Officer"
"0001717257-17-000001",1,"Kobeyaki Newport LLC","/s/ Brian Kelly","CEO"
"0001517560-17-000011",1,"Geostellar, Inc.","David Levine","President and Chief Executive Officer"
"0001665160-17-000480",1,"iJuze Corporation","Esmond Goei","Principle Executive officer and Director"
"0001708189-17-000004",1,"IgnitedStudios Hollywood, LLC","Yu Lun Kao","Chief Creative Officer"
"0001710938-17-000008",1,"Franklin and Cortlandt Vinyl LLC","Dan Yashiv","Managing Member"
"0001670254-17-000277",1,"MOBODEXTER INC","Chandramouli Srinivasan","CEO"
"0001670254-17-000275",1,"Epec Holdings, Inc. (f/k/a Epec Biofuels Holdings, Inc.)","Steve Vanechanos","Executive Chairman of the Board"
"0001716818-17-000001",1,"Copdate USA Inc.","Andrew Raisman","CEO, Comptroller, and Chief Financial Officer"
"0001704205-17-000013",1,"Ideal Conceal, Inc.","Kirk Kjellberg","CEO"
"0001665160-17-000476",1,"OPER, LLC","David Laiderman","Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer"
"0001665160-17-000478",1,"Mi Ola, Inc","Helena Fogarty","CEO and Founder"
"0001665160-17-000475",1,"Vibrant TV, LLC","Jon Bottorff","CFO"
"0001665160-17-000477",1,"Baja United Imports, Inc.","Jim Riley","President"
"0001669753-17-000002",1,"Whoseyourlandlord, Inc.","Camellus Ofornedu Ezeugwu Jr.","CEO and Co-Founder"
"0001665160-17-000474",1,"Go Fish Marketplace Inc.","Joseph M. Baliva","Principal Executive Officer and Director, Principal Financial Officer Principal Accounting Officer"
"0001665160-17-000468",1,"MUMO, Inc.","Jean-Marc Touch","President and Director"
"0001665160-17-000473",1,"Bringpro, Inc.","Jamie Garelli","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-17-000465",1,"Wetboard","Christopher D. White","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-17-000470",1,"Keezel, Inc.","Aike Muller","Principal Executive Officer and President"
"0001665160-17-000467",1,"MOCKOUT, INC.","Michael McKeon","Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001670254-17-000274",1,"MOBODEXTER INC","Chandramouli Srinivasan","CEO"
"0001665160-17-000472",1,"FAMA, Inc.","Saiful Khandaker","Principal Executive Officer, Financial Controller, Principal Financial Officer, Director"
"0001665160-17-000471",1,"Shark Wheel LLC","Zack Fleishman","Principal Executive Officer and Director, Principal Financial Officer and Controller"
"0001665160-17-000469",1,"Next Future Transportation Inc.","Tommaso Gecchelin","CTO"
"0001717883-17-000001",1,"Small Batch Beauty, LLC","John Cascarano","CEO"
"0001704837-17-000001",1,"500 N3rd St., LLC","Peter B Gustis","CEO - Investment Manager"
"0001665160-17-000463",1,"EZ-Coco, LLC","David Goodman","Principal Executive Officer and Director, Principal Accounting Officer, Principal Financial Officer"
"0001670254-17-000273",1,"FAFCO, INC.","Robert Leckinger","President & CEO"
"0001670254-17-000271",1,"Beachmonkey Inc.","Michael Luczaj","CEO"
"0001665160-17-000461",1,"Perserbid","Robert Pryately","CEO, Director, and Principal Financial Officer"
"0001665160-17-000459",1,"Boxx Corp","Eric Vaughn Meyers","Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer, Founder"
"0001665160-17-000457",1,"PAX","Michael Azzarello","CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer"
"0001670254-17-000269",1,"MISSION BREWERY, INC.","Dan Selis","President, Founder, CEO"
"0001670254-18-000100",1,"Storeboard, Inc.","David Waller","CEO & Founder"
"0001669191-18-000176",1,"Maingear, Inc.","Wallace Santos","Principal Executive Officer"
"0001704090-18-000003",1,"Gulf Coast Canna Meds, Inc.","Lori Daugherty","CEO"
"0001665160-18-000258",1,"Wordego, Incorporated","Okan Erol","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000255",1,"Power Hero Corp.","Esmond Goei","CEO, Principal Executive Officer and Director"
"0001734621-18-000002",1,"Jobletics, Inc","Rahul Sharma","CEO and Director"
"0001710332-18-000002",1,"Duralogic USA Inc","Bryce Fisher","CEO, Principal Executive Officer, Principal Accounting Officer, Principal Financial Officer"
"0001728855-18-000003",1,"Boon VR LLC","Satya Ridhima Parvathaneni","Chief Executive Officer"
"0001665160-18-000251",1,"LifeBridge 10000, LLC","Peter F Travers","CEO and Managing Member, Principal Financial Officer and Principal Accounting Officer"
"0001724714-18-000004",1,"Gryphon Online Safety, Inc.","John Wu","CEO and Director"
"0001724637-18-000001",1,"BuffBrew Taproom, LLC","Rassul Zarinfar","President/CEO of sole member"
"0001670254-18-000099",1,"Orthogonal Thinker Inc.","Helene Servillon","Director"
"0001665160-18-000249",1,"UniCoin Blockchain Inc.","Chris Anthony","Principal Executive Officer and Director, Principal Financial Officer"
"0001723487-18-000001",1,"Lynwood Financial Group","/s/ Charles Feltman","President"
"0001735522-18-000001",1,"Squirrel Capital Investments Inc.","Byron Stepner","CEO"
"0001710013-18-000001",1,"Distributed Security, Inc.","Mike Smock","President"
"0001669191-18-000173",1,"ChoiceTrade Holdings, Inc.","Neville Golvala","Principal Executive Officer"
"0001665160-18-000246",1,"Bioclonetics Immunotherapeutics, Inc.","Charles S. Cotropia","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000245",1,"StorEn Technologies Inc.","Carlo Brovero","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001669191-18-000170",1,"City Windmills Inc.","David Mapley","Principal Executive Officer"
"0001723949-18-000012",1,"Fatwood LLC","Robert Dames","CEO"
"0001665160-18-000244",1,"General Presence Inc.","Frank Erik Banks","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000242",1,"WORDEGO INC","Dr. Okan Erol","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000243",1,"TotalSource Solutions, Inc","George B. Brown","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001669191-18-000167",1,"4Gen Technology Group, Inc.","Jacob Clifton","Principal Executive Officer"
"0001669191-18-000165",1,"Finnest, Inc.","Clemens Grave","Principal Executive Officer"
"0001665160-18-000241",1,"LIFE RECOVERY SYSTEMS HD LLC","Robert J Freedman","CEO, Principal Executive Officer and Manager"
"0001709244-18-000001",1,"Gab Al Inc","/Andrew Torba/","CEO"
"0001735243-18-000001",1,"Platform at 930, LLC","Laura Nettleton","Manager"
"0001665160-18-000240",1,"Vibrant TV, LLC","Jon Bottorff","CFO"
"0001665160-18-000239",1,"WitFoo, Inc.","Tim Bradford","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001715749-18-000001",1,"3DaGoGo, Inc","Andrew Taylor","CEO"
"0001670254-18-000097",1,"Loop Devices Inc.","Michael Bettua","CEO & Co-founder"
"0001670254-18-000095",1,"V-PLAN INC.","Megharaju Kachu","CEO- President"
"0001670254-18-000094",1,"Better Network, Inc.","Kunal Gupta","Co-Founder & Engineer"
"0001669191-18-000162",1,"ICEBREAKER, INC.","Kevin Murray","Principal Executive Officer"
"0001669191-18-000160",1,"ICEBREAKER, INC.","Kevin Murray","Principal Executive Officer"
"0001721104-18-000010",1,"Cloud Cover Media, Inc.","/s/Mark H. Lehman","CEO"
"0001721104-18-000009",1,"Cloud Cover Media, Inc.","/s/Mark H. Lehman","CEO"
"0001669191-18-000156",1,"Finnest, Inc.","Clemens Grave","Principal Executive Officer"
"0001669191-18-000158",1,"4Gen Technology Group, Inc.","Jacob Clifton","Principal Executive Officer"
"0001670254-18-000092",1,"Simple Machine, LLC","Damon Evans","Founder & CEO"
"0001665160-18-000237",1,"Whetstone International Network LLC","John W Whetstone","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000232",1,"Apparent Energy, Inc.","William Patridge","President, CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000234",1,"EPEC Holdings, Inc","Steve Vanechanos","Principal Executive Officer and Director"
"0001665160-18-000228",1,"Rentah, Incorporated","Anup Yogesh Desai","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000226",1,"Real Bloody Mary Co., LLC","Michael Machat","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001734991-18-000002",1,"Local X Change, LLC","Zebulon Bartels","Owner"
"0001722710-18-000004",1,"Myways, Inc.","Michael Jordan","CEO"
"0001731640-18-000004",1,"WealthZoo, LLC","Jeff Titak","CEO"
"0001669191-18-000148",1,"Fathom Drones Inc.","Matthew Gira","Principal Executive Officer"
"0001665160-18-000224",1,"PlantSnap Inc.","Eric Ralls","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000222",1,"EpigenCare Inc.","William Lee","CEO, Principal Executive Officer and Director"
"0001730062-18-000004",1,"Los Pinos Ranch Vineyards, LLC","Matthew Lipton","Chief Executive Officer"
"0001730062-18-000003",1,"Los Pinos Ranch Vineyards, LLC","Matthew Lipton","Chief Executive Officer"
"0001726537-18-000003",1,"Pistil & Pollen, LLC","Amy Dannemiller","Chief Executive Officer"
"0001723348-18-000003",1,"Millie's Ice Cream Truck, LLC","Melissa Horst","Owner"
"0001670254-18-000090",1,"Jeeva Medical Corp","Anthony Jaccarino","Chief Executive Officer"
"0001670254-18-000088",1,"bid2bed, LLC","Roee Keren-Tzur","Business Development"
"0001665160-18-000216",1,"Solar Direct LLC","Kirk Maust","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer"
"0001730206-18-000004",1,"Acropolis Games LLC","Timothy Roberts","Owner"
"0001716456-18-000001",1,"Digital Direct IR, Inc","/s/ Peter Kaufman","CEO"
"0001665160-18-000214",1,"Atlis Motor Vehicles, Inc","Mark Hanchett","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000207",1,"Atmos Home Inc.","Mark Lyle","CEO, CTO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000211",1,"Life Recovery Systems HD, LLC","Robert J Freedman","CEO, Principal Executive Officer and Manager"
"0001670254-18-000086",1,"Arolucha, Inc.","Jason Brown","CEO"
"0001722710-18-000003",1,"Myways, Inc.","Michael Jordan","CEO"
"0001669191-18-000144",1,"Atmos Digital Inc","William Donovan","Principal Executive Officer"
"0001669191-18-000140",1,"Verdant Power Inc.","John Banigan","Principal Executive Officer"
"0001665160-18-000199",1,"Buying Collective Holdings Inc","Rod Smith","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000200",1,"Buying Collective Holdings Inc","Rod Smith","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001682510-18-000003",1,"Splash Wines, Inc","Robert Imeson","CEO, Principal Executive Officer, Principal Accounting Officer, Principal Financial Officer"
"0001670254-18-000084",1,"Attic Brewing Company LLC","Laura Lacy","Owner, Manager, and Operations"
"0001670254-18-000083",1,"ClassApps, Inc.","Sheryl Briggs","President"
"0001665160-18-000198",1,"Contenders Clothing, LLC","Jonathan Snyder","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001730741-18-000001",1,"When it Changed Inc.","Charles Broskoski","Chief Executive Officer"
"0001730100-18-000002",1,"Witnet Foundation","/s/Daniele Levi","President"
"0001704091-18-000002",1,"360913 S Saratoga LLC","Jonathan Tate","Manager"
"0001704091-18-000001",1,"360913 S Saratoga LLC","Jonathan Tate","Manager"
"0001729427-18-000001",1,"CNS Pharmaceuticals, Inc.","John Climaco","Chief Executive Officer"
"0001665160-18-000197",1,"POUNDWISHES INC.","John Hussey","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000195",1,"PoundWishes Inc.","John Hussey","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001724862-18-000001",1,"PST Evergreen Investment, Inc.","Han Hu","Director"
"0001665160-18-000193",1,"STAYBLGEAR LLC","Eskil Nordhaug","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer"
"0001727469-18-000004",1,"Majik Water LLC","Clare Sewell","Chief Operating Officer"
"0001719648-18-000001",1,"Freerolls Entertainment, Inc.","/s/ Charles Potter","CEO"
"0001665160-18-000191",1,"Gyomo, Inc.","Quincy Acklen","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000188",1,"MAGNABID, INC.","Pez Zarifian","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001665160-18-000185",1,"ElectroniXiQ, Inc.","Karlos Walkes","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001682510-18-000002",1,"Splash Wines, Inc","Robert Imeson","CEO, Principal Executive Officer, Principal Accounting Officer, Principal Financial Officer"
"0001670254-18-000078",1,"Pedal Holdings Inc.","Chadd Johnson","Founder / CEO"
"0001670254-18-000077",1,"OODLES CORPORATION","Asheesh Barman","Co-Founder, President & COO"
"0001665160-18-000182",1,"Contenders Clothing, Inc.","Jonathan Snyder","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001608695-18-000002",1,"G. Randall & Sons, Inc.","Brendon Strause","Co-Founder"
"0001608695-18-000001",1,"G. Randall & Sons, Inc.","Brendon Strause","Co-Founder"
"0001733434-18-000001",1,"Viri Systems Inc.","Patrick Davis Jones","CEO"
"0001665160-18-000180",1,"Kind Katie Movie Partners, LLC","Jon Graham","CEO and Director, Principal Financial Officer and Principal Accounting Officer"
"0001726531-18-000005",1,"Unlimited Tomorrow, Inc.","Easton LaChappelle","CEO"
"0001727168-18-000003",1,"Hackrod Inc.","Michael McCoy","Chief Executive Officer"
"0001690165-18-000007",1,"ReGrained, Inc.","Jordan Schwartz","COO and Cofounder"
"0001670254-18-000074",1,"Hustle Fitness, Inc.","Matt Michaux","CEO"
"0001679372-18-000001",1,"Youngry, LLC","Ash Kumra","President"
"0001732334-18-000002",1,"Witty Inventions LLC","Frances Jones","CEO"
"0001665160-18-000179",1,"ARTICHOKE, LLC","Justin Shelby","CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer"
"0001729813-18-000004",1,"Molly B Industries, LLC","Molly Beane","CEO and Managing Member"
"0001732447-18-000002",1,"Gather Voices, Inc.","Michael Hoffman","CEO"
"0001728560-18-000001",1,"SynTouch, Inc.","David Groves","CEO, Principal Executive Officer, Principal Accounting Officer, Principal Financial Officer"
"0001731479-18-000001",1,"Rodin, Inc.","Taron Lizagub","CEO"
"0001639718-18-000001",1,"Roomi Inc.","Ajay Yadav","Founder & CEO"
"0001670254-18-000073",1,"I-PASS Patient Safety Institute, Inc.","Scott Pitt","Chief Financial Officer"
"0001705975-18-000001",1,"Pitch 25, LLC","Brian Ching","Manager"
"0001665160-18-000177",1,"PlantSnap, Inc.","Eric Ralls","CEO"
"0001705496-18-000001",1,"Stanley Grove LLC","Lu Yang","Managing Member"
"0001598982-18-000001",1,"True Gault, Inc. (f/k/a Shulogique, Inc.)","Sandra Gault","CEO and Co-Founder"
"0001720822-18-000001",1,"SilkRoll Inc.","Janet WU","CEO"
"0001665160-18-000175",1,"DLYTE, LLC","Barry Shore","Founder, CEO, Managing Member, Director, Principal Financial Officer and Principal Accounting Officer"
"0001670254-18-000071",1,"Beer District Brewing LLC","Michael Doyle","Manager"
"0001670254-18-000069",1,"Coppertino Inc","Ivan Ablamskyi","Founder and CEO"
"0001670254-18-000068",1,"Chateau Marcel, Inc.","Albert Dahan","CEO"
"0001726073-18-000003",1,"Woodland Rockwell No. 1 GP","Manfred Sternberg","President of ACSI, General Partner"
"0001669753-18-000003",1,"Whoseyourlandlord, Inc.","Camellus Ofornedu Ezeugwu Jr.","Chief Executive Officer"
"0001730062-18-000001",1,"Los Pinos Ranch Vineyards, LLC","Matthew Lipton","Chief Executive Officer"
"0001665160-18-000170",1,"Eclipse Diagnostics Inc.","Luka Fajs","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001669191-18-000136",1,"ChoiceTrade Holdings, Inc.","Neville Golvala","Principal Executive Officer"
"0001722007-18-000005",1,"Pittsburgh Juice Co","Naomi Homison","Managing Director"
"0001665160-18-000147",1,"LiteScape Technologies, Inc.","Aleksey Feldman","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001670254-18-000065",1,"Twins Chicken INC","Sean Fitzhugh","Founder"
"0001670254-18-000061",1,"KetoNatural Pet Foods, Inc.","Daniel Schulof","Co-founder and CEO"
"0001670254-18-000067",1,"Neurohacker Collective, LLC","Jordan Greenhall","CEO"
"0001665160-18-000149",1,"Space Division Inc.","Ryan Oliges","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer"
"0001670254-18-000063",1,"Coppertino Inc","Ivan Ablamskyi","Founder and CEO"
"0001712427-18-000001",1,"Kookaburra Sustainable Solutions Inc","Michael Schieck","President"
"0001665160-18-000145",1,"JINGLZ, INC.","Aaron Itzkowitz","CEO, President, Chairman, Director, Principal Executive Officer"
"0001669191-18-000132",1,"City Windmills Inc.","David Mapley","Principal Executive Officer"
"0001730100-18-000001",1,"Witnet Foundation","/s/Daniele Levi","President"
"0001669191-18-000127",1,"Neurotez Inc.","Nikolaos Tezapsidis","Principal Executive Officer"
"0001669191-18-000125",1,"Charlotte's Closet, LLC","Jen Forman","Principal Executive Officer"
"0001732797-18-000002",1,"QUINN INC","John Orekunrin","Founder & CEO"
"0001719379-18-000001",1,"BLOCKSTACK TOKEN LLC","Muneerb Ali","Managing Director"
"0001732797-18-000001",1,"QUINN INC","John Orekunrin","Founder & CEO"
"0001731540-18-000001",1,"WolfPack Systems, Inc","Jonathan Chashper","President and CEO"
"0001669191-18-000116",1,"ChoiceTrade Holdings, Inc.","Neville Golvala","Principal Executive Officer"
"0001665160-18-000142",1,"North Country Showcase Inc","Anthony Diagostino","Treasurer, Principal Financial Officer, Principal Accounting Officer and Director"
"0001670254-18-000058",1,"Ganaz Inc.","Srinivas Artham","Co-founder"
"0001670254-18-000059",1,"Balanced Software, Inc.","Richard Burton","Chief Executive Officer"
"0001669191-18-000123",1,"ChoiceTrade Holdings, Inc.","Neville Golvala","Principal Executive Officer"
"0001665160-18-000144",1,"GeoOrbital Inc.","Michael Burtov","Chief Executive Officer"
"0001670254-18-000060",1,"GlobeChat, Inc.","Kevin Strom","CEO"
"0001731640-18-000002",1,"WealthZoo, LLC","Jeff Titak","CEO"
"0001669191-18-000113",1,"Verdant Power Inc.","John Banigan","Principal Executive Officer"
"0001684321-18-000002",1,"Italian Cafe, LLC","Christy Jepson","Manager"
"0001723477-18-000001",1,"Vacayo, Inc.","Truth Oladapo","CEO"
"0001722850-18-000001",1,"Krav Maga NYC, LLC","Matan Gavish","Managing Member"
"0001724091-18-000001",1,"Bravery Chef Hall, LP","Lian Pham","Partner of the general partner"
"0001670254-18-000057",1,"Nemucore Medical Innovations, Inc.","Tim Coleman","Founder and CEO"
"0001665160-18-000136",1,"Three Flip Studios, Inc","Rob Howland","CEO"
